,date,new_confirmed,total_confirmed,country_name
13670,2021-04-30,0.0,2098.0,Liberia
13671,2021-04-30,0.0,10728.0,Lesotho
13672,2021-04-30,1629.0,244555.0,Lithuania
13673,2021-04-30,220.0,66594.0,Luxembourg
13674,2021-04-30,596.0,116132.0,Latvia
13675,2021-04-30,447.0,176701.0,Libya
13723,2021-04-30,493.0,510465.0,Morocco
13724,2021-04-30,3.0,2442.0,Monaco
13725,2021-04-30,329.0,249714.0,Moldova
13726,2021-04-30,0.0,96773.0,Montenegro
13727,2021-04-30,145.0,36190.0,Madagascar
13728,2021-04-30,0.0,4.0,Marshall Islands
13729,2021-04-30,450.0,151122.0,Macedonia
13730,2021-04-30,64.0,13722.0,Mali
13731,2021-04-30,12.0,142790.0,Myanmar
13732,2021-04-30,1171.0,33608.0,Mongolia
13733,2021-04-30,1.0,47.0,Macau
13734,2021-04-30,0.0,164.0,Northern Mariana Islands
13735,2021-04-30,0.0,10491.0,Martinique
13736,2021-04-30,32.0,18314.0,Mauritania
13737,2021-04-30,0.0,20.0,Montserrat
13738,2021-04-30,45.0,30234.0,Malta
13739,2021-04-30,0.0,1206.0,Mauritius
13740,2021-04-30,464.0,29052.0,Maldives
13741,2021-04-30,10.0,34031.0,Malawi
13742,2021-04-30,7.0,2336944.0,Mexico
16240,2021-04-30,3142.0,401593.0,Malaysia
16257,2021-04-30,47.0,69762.0,Mozambique
16269,2021-04-30,70.0,48011.0,Namibia
16270,2021-04-30,0.0,124.0,New Caledonia
16271,2021-04-30,0.0,5204.0,Niger
16272,2021-04-30,,,Norfolk Island
16273,2021-04-30,156.0,164912.0,Nigeria
16274,2021-04-30,0.0,5498.0,Nicaragua
16292,2021-04-30,8649.0,1481323.0,Netherlands
16660,2021-04-30,551.0,111162.0,Norway
16674,2021-04-30,4774.0,312699.0,Nepal
16675,2021-04-30,0.0,0.0,Nauru
16676,2021-04-30,0.0,0.0,Niue
16677,2021-04-30,3.0,2257.0,New Zealand
16678,2021-04-30,928.0,192326.0,Oman
16679,2021-04-30,368.0,363533.0,Panama
16693,2021-04-30,6876.0,1775062.0,Peru
18594,2021-04-30,2.0,18746.0,French Polynesia
18595,2021-04-30,0.0,10997.0,Papua New Guinea
18596,2021-04-30,5.0,1020495.0,Philippines
18727,2021-04-30,5292.0,810231.0,Pakistan
18733,2021-04-30,8893.0,2776927.0,Poland
18750,2021-04-30,0.0,0.0,Pitcairn Islands
18751,2021-04-30,324.0,130361.0,Puerto Rico
18752,2021-04-30,1084.0,323391.0,Palestine
18753,2021-04-30,353.0,834991.0,Portugal
18761,2021-04-30,0.0,0.0,Palau
18762,2021-04-30,2461.0,271814.0,Paraguay
18781,2021-04-30,690.0,204289.0,Qatar
18782,2021-04-30,0.0,20381.0,Réunion
18783,2021-04-30,1850.0,1053629.0,Romania
18826,2021-04-30,2145.0,683799.0,Serbia
